Indicateur;label;Population_generale;Personnes_agees;Enfants__adolescents__jeunes_adultes;Population_precaire;Personnes_handicapees;Femmes__accouchement_grossesse____Perinatalite;Diabete_et_autres_maladies_endocriniennes;Sante_mentale;Cancer;Maladie_de_l_appareil_genito_urinaire__dont_les_insuffisances_renales_chroniques_;Maladies_cardiovasculaires;Maladies_neurologiques_ou_degeneratives;Maladies_respiratoires_;Maladies_de_l_appareil_digestif;Maladies_infectieuses;Pathologies_du_systeme_osteo_articulaire;Traumatismes_et_pathologie_accidentelle;Autres_pathologies;Coordination_continuite;Qualite_et_securite_des_soins;Prevention_depistage;Accessibilite__geographique__financier__autres_;Habitudes_de_vie_et_addictions;Determinants_environnementaux;E_sante__systemes_d_information_de_sante__telesante__telemedecine_;Droits_d_usagers_democratie_sanitaire;Mesures_d_inegalites_et_de_disparites_territoriales_de_sante;Contexte_demographique_et_socio_economique;Offre_de_soins;Offre_medico_sociale;Recours_aux_soins;Protection_sociale;Depenses_de_sante;Etat_de_sante;index
Effectifs de médecins libéraux spécialistes en 77- Obstétrique par secteur conventionnel;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;594
Effectifs de médecins libéraux spécialistes en 12- Pédiatrie par secteur conventionnel;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;605
Effectifs de médecins libéraux spécialistes en TOTAL PEDIATRIE  (78, 12) par secteur conventionnel;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;606
Effectifs de médecins libéraux spécialistes en 10- Neurochirurgie par mode d'exercice;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;654
Effectifs de médecins libéraux spécialistes en 79- Gynécologie obstétrique et gynécologie médicale par mode d'exercice;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;666
Effectifs de médecins libéraux spécialistes en 78- Médecine génétique par mode d'exercice;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;675
Effectifs de médecins libéraux spécialistes en 12- Pédiatrie par mode d'exercice;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;676
Effectifs de médecins libéraux spécialistes en TOTAL PEDIATRIE  (78, 12) par mode d'exercice;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;677
Effectifs de médecins libéraux spécialistes en 45- Chirurgie maxillo-faciale et stomatologie par mode d'exercice;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;681
Effectifs de médecins libéraux spécialistes en 12- Pédiatrie par âge et sexe;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;743
Effectifs de médecins libéraux spécialistes en TOTAL PEDIATRIE  (78, 12) par âge et sexe;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;744
Âge moyen des médecins spécialistes libéraux en 46- Chirurgie plastique reconstructrice et esthétique;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;783
Âge moyen des médecins spécialistes libéraux en 04- Chirurgie générale;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;787
Effectifs de médecins libéraux actifs à part entière (APE) en 43- Chirurgie infantile ;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;920
Effectifs de médecins libéraux actifs à part entière (APE) en 44- Chirurgie maxillo-faciale ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;921
Effectifs de médecins libéraux actifs à part entière (APE) en 10- Neurochirurgie ;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;927
Effectifs de médecins libéraux actifs à part entière (APE) en 12- Pédiatrie ;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;949
Effectifs de médecins libéraux actifs à part entière (APE) en Psychiatrie et Neuro- psychiatrie (Total);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;958
Proportion de médecins libéraux spécialistes en 77- Obstétrique  actifs à part entière (APE) ;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;992
Proportion de médecins libéraux spécialistes en 79- Gynécologie obstétrique et gynécologie médicale  actifs à part entière (APE) ;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;993
Proportion de chirurgiens-dentistes libéraux spécialistes en médecine bucco-dentaire actifs à part entière (APE);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1036
Proportion d'auxiliaires médicaux libéraux (Total 24, 26, 27, 28,29) actifs à part entière (APE);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1045
Nombre de consultations réalisées par des médecins libéraux spécialistes en 76- Radiothérapie ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1068
Nombre de visites réalisées par des médecins libéraux spécialistes en 15- Ophtalmologie ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1140
Nombre d'actes CCAM réalisés par des médecins libéraux spécialistes en 43- Chirurgie infantile par type d'actes;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1160
Nombre d'actes CCAM réalisés par des médecins libéraux spécialistes en TOTAL GYNECOLOGIE  (70, 77, 79, 07) par type d'actes;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1181
Nombre d'actes CCAM réalisés par des médecins libéraux spécialistes en 15- Ophtalmologie par type d'actes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1193
Nombre d'actes NGAP réalisés par des médecins libéraux spécialistes en 48- Chirurgie vasculaire par type d'actes;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1217
Nombre d'actes NGAP réalisés par des médecins libéraux spécialistes en 34-Gériatrie par type d'actes;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1259
Prescriptions des médecins libéraux spécialistes en 76- Radiothérapie par type de prescriptions;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1281
Prescriptions des médecins libéraux spécialistes en 75- Psychiatrie de l'enfant et de l'adolescent par type de prescriptions;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1306
Prescriptions de l'ensemble des chirurgiens-dentistes libéraux;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1335
Nombre de coefficients NGAP facturés par les orthoptistes libéraux par type de coefficients;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1349
Nombre de consultations réalisées par des médecins libéraux actifs à part entière (APE) spécialistes en 20- Réanimation médicale ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1365
Nombre de consultations réalisées par des médecins libéraux actifs à part entière (APE) spécialistes en 45- Chirurgie maxillo-faciale et stomatologie ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1402
Nombre de visites réalisées par des médecins libéraux actifs à part entière (APE) spécialistes en 16- Chirurgie urologique ;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1429
Nombre de visites réalisées par des médecins libéraux actifs à part entière (APE) spécialistes en 41- Chirurgie orthopédique et traumatologie ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1430
Nombre de visites réalisées par des médecins libéraux actifs à part entière (APE) spécialistes en 45- Chirurgie maxillo-faciale et stomatologie ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1455
Nombre d'actes CCAM réalisés par des médecins libéraux actifs à part entière (APE) spécialistes en 09- Médecine interne par type d'actes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1499
Nombre d'actes CCAM réalisés par des médecins libéraux actifs à part entière (APE) spécialistes en 34-Gériatrie par type d'actes;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1520
Nombre d'actes NGAP réalisés par des médecins libéraux actifs à part entière (APE) spécialistes en 35- Néphrologie par type d'actes;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1570
Prescriptions des médecins libéraux actifs à part entière (APE) spécialistes en 15- Ophtalmologie par type de prescriptions;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1614
Nombre d'actes NGAP réalisés par les chirurgiens-dentistes libéraux actifs à part entière (APE) par type d'actes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1631
Nombre de coefficients NGAP facturés par les chirurgiens-dentistes libéraux actifs à part entière (APE) spécialisés en chirurgie orale par type de coefficients;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1636
Honoraires sans dépassement des médecins généralistes et MEP libéraux (omnipraticiens);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1666
Honoraires sans dépassement des Chirurgiens dentistes libéraux spécialisés en Médecine bucco-dentaire;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1729
Dépassements des médecins libéraux spécialistes en TOTAL GYNECOLOGIE  (70, 77, 79, 07)  ;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1758
Dépassements des médecins libéraux spécialistes en 42- Endocrinologie et métabolisme  ;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1782
Frais de déplacement des médecins libéraux spécialistes en 04- Chirurgie générale  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1809
Frais de déplacement des médecins libéraux spécialistes en 06- Radiodiagnostic et imagerie médicale  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1818
Frais de déplacement des médecins libéraux spécialistes en 45- Chirurgie maxillo-faciale et stomatologie  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1837
Frais de déplacement des médecins libéraux spécialistes en 33- Psychiatrie  ;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1843
Frais de déplacement des médecins libéraux spécialistes en TOTAL PSYCHIATRIE  et NEUROPSYCHIATRIE (75, 33, 17)  ;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1845
Honoraires totaux des médecins libéraux spécialistes en 09- Médecine interne  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1894
Honoraires totaux des médecins libéraux spécialistes en 37- Anatomo-cyto-pathologie  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1913
Honoraires totaux des AUXILIAIRES MEDICAUX libéraux;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1923
Nombre de dépassements des médecins libéraux spécialistes en 16- Chirurgie urologique  ;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1943
Nombre de dépassements des médecins libéraux spécialistes en TOTAL RADIOLOGIE  (72, 74, 76, 06)  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1951
Nombre de dépassements des médecins libéraux spécialistes en 07- Gynécologie obstétrique  ;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1955
Nombre de dépassements des médecins libéraux spécialistes en TOTAL GYNECOLOGIE  (70, 77, 79, 07)  ;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1956
Nombre de dépassements des médecins libéraux spécialistes en 31- Médecine Physique et de Réadaptation  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1972
Nombre de dépassements des médecins libéraux spécialistes en 32- Neurologie  ;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1973
Dépassements moyens des médecins libéraux spécialistes en 02- Anesthésie-réanimation chirurgicale  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1997
Dépassements moyens des médecins libéraux spécialistes en 47- Chirurgie thoracique et cardio-vasculaire  ;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2004
Dépassements moyens des médecins libéraux spécialistes en TOTAL CHIRURGIE y compris 10,16,41  (43, 44, 46, 47, 48, 49, 04, 10, 16, 41)  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2011
Dépassements moyens des médecins libéraux spécialistes en 17- Neuropsychiatrie  ;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2042
Honoraires sans dépassement des médecins libéraux actifs à part entière (APE) spécialistes en 48- Chirurgie vasculaire;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2071
Honoraires sans dépassement des médecins libéraux actifs à part entière (APE) spécialistes en 76- Radiothérapie;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2081
Honoraires sans dépassement des médecins libéraux actifs à part entière (APE) spécialistes en TOTAL PEDIATRIE  (78, 12);1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2097
Dépassements des médecins libéraux actifs à part entière (APE) spécialistes en 43- Chirurgie infantile;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2133
Dépassements des médecins libéraux actifs à part entière (APE) spécialistes en 72- Médecine nucléaire;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2145
Dépassements des médecins libéraux actifs à part entière (APE) spécialistes en 78- Médecine génétique;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2161
Frais de déplacement des médecins libéraux actifs à part entière (APE) spécialistes en 34-Gériatrie;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2245
 Frais de déplacement des Infirmiers libéraux actifs à part entière (APE);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2254
Frais de déplacement des Masseurs-kinésithérapeutes-rééducateurs libéraux actifs à part entière (APE);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2255
Honoraires totaux des médecins libéraux actifs à part entière (APE) spécialistes en 20- Réanimation médicale;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2262
Honoraires totaux des médecins libéraux actifs à part entière (APE) spécialistes en TOTAL STOMATOLOGIE  (45, 18);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2301
Nombre de dépassements des médecins libéraux actifs à part entière (APE) spécialistes en 08- Gastro-entérologie et hépatologie;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2353
Nombre de dépassements des Chirurgiens-dentistes libéraux actifs à part entière (APE);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2380
Dépassements moyens des Chirurgiens dentistes libéraux spécialisés en Médecine bucco-dentaire actifs à part entière (APE);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2448
Honoraires sans dépassement des médecins libéraux actifs à part entière (APE) spécialistes en TOTAL RADIOLOGIE  (72, 74, 76, 06) par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2479
Honoraires sans dépassement de l'ensemble des médecins spécialistes libéraux actifs à part entière (APE) par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2510
Dépassements des médecins libéraux actifs à part entière (APE) spécialistes en 04- Chirurgie générale par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2535
Dépassements des médecins libéraux actifs à part entière (APE) spécialistes en 34-Gériatrie par APE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2575
